EGEOLOC,STATE
"59",Wyoming
"04",Connecticut
"05",Maine
"06",Massachusetts
"07",New Hampshire
"08",Rhode Island
"09",Vermont
"11",New Jersey
"12",New York
"13",Pennsylvania
"16",Illinois
"17",Indiana
"18",Michigan
"19",Ohio
"20",Wisconsin
"22",Iowa
"23",Kansas
"24",Minnesota
"25",Missouri
"26",Nebraska
"27",North Dakota
"28",South Dakota
"31",Washington DC
"32",Delaware
"33",Florida
"34",Georgia
"61",Alaska
"62",California
"63",Hawaii
"35",Maryland
"36",North Carolina
"37",South Carolina
"38",Virginia
"39",West Virginia
"41",Alabama
"42",Kentucky
"43",Mississippi
"44",Tennessee
"46",Arkansas
"47",Louisiana
"48",Oklahoma
"49",Texas
"52",Arizona
"53",Colorado
"54",Idaho
"55",Montana
"56",Nevada
"57",New Mexico
"58",Utah
"64",Oregon
"65",Washington
