DX,BODY_SYSTEM,ICD
010,pulmonary_respiratory,9
0100,pulmonary_respiratory,9
01000,pulmonary_respiratory,9
01001,pulmonary_respiratory,9
01002,pulmonary_respiratory,9
01003,pulmonary_respiratory,9
01004,pulmonary_respiratory,9
01005,pulmonary_respiratory,9
01006,pulmonary_respiratory,9
0101,pulmonary_respiratory,9
01010,pulmonary_respiratory,9
01011,pulmonary_respiratory,9
01012,pulmonary_respiratory,9
01013,pulmonary_respiratory,9
01014,pulmonary_respiratory,9
01015,pulmonary_respiratory,9
01016,pulmonary_respiratory,9
0108,pulmonary_respiratory,9
01080,pulmonary_respiratory,9
01081,pulmonary_respiratory,9
01082,pulmonary_respiratory,9
01083,pulmonary_respiratory,9
01084,pulmonary_respiratory,9
01085,pulmonary_respiratory,9
01086,pulmonary_respiratory,9
0109,pulmonary_respiratory,9
01090,pulmonary_respiratory,9
01091,pulmonary_respiratory,9
01092,pulmonary_respiratory,9
01093,pulmonary_respiratory,9
01094,pulmonary_respiratory,9
01095,pulmonary_respiratory,9
01096,pulmonary_respiratory,9
011,pulmonary_respiratory,9
0110,pulmonary_respiratory,9
01100,pulmonary_respiratory,9
01101,pulmonary_respiratory,9
01102,pulmonary_respiratory,9
01103,pulmonary_respiratory,9
01104,pulmonary_respiratory,9
01105,pulmonary_respiratory,9
01106,pulmonary_respiratory,9
0111,pulmonary_respiratory,9
01110,pulmonary_respiratory,9
01111,pulmonary_respiratory,9
01112,pulmonary_respiratory,9
01113,pulmonary_respiratory,9
01114,pulmonary_respiratory,9
01115,pulmonary_respiratory,9
01116,pulmonary_respiratory,9
0112,pulmonary_respiratory,9
01120,pulmonary_respiratory,9
01121,pulmonary_respiratory,9
01122,pulmonary_respiratory,9
01123,pulmonary_respiratory,9
01124,pulmonary_respiratory,9
01125,pulmonary_respiratory,9
01126,pulmonary_respiratory,9
0113,pulmonary_respiratory,9
01130,pulmonary_respiratory,9
01131,pulmonary_respiratory,9
01132,pulmonary_respiratory,9
01133,pulmonary_respiratory,9
01134,pulmonary_respiratory,9
01135,pulmonary_respiratory,9
01136,pulmonary_respiratory,9
0114,pulmonary_respiratory,9
01140,pulmonary_respiratory,9
01141,pulmonary_respiratory,9
01142,pulmonary_respiratory,9
01143,pulmonary_respiratory,9
01144,pulmonary_respiratory,9
01145,pulmonary_respiratory,9
01146,pulmonary_respiratory,9
0115,pulmonary_respiratory,9
01150,pulmonary_respiratory,9
01151,pulmonary_respiratory,9
01152,pulmonary_respiratory,9
01153,pulmonary_respiratory,9
01154,pulmonary_respiratory,9
01155,pulmonary_respiratory,9
01156,pulmonary_respiratory,9
0116,pulmonary_respiratory,9
01160,pulmonary_respiratory,9
01161,pulmonary_respiratory,9
01162,pulmonary_respiratory,9
01163,pulmonary_respiratory,9
01164,pulmonary_respiratory,9
01165,pulmonary_respiratory,9
01166,pulmonary_respiratory,9
0117,pulmonary_respiratory,9
01170,pulmonary_respiratory,9
01171,pulmonary_respiratory,9
01172,pulmonary_respiratory,9
01173,pulmonary_respiratory,9
01174,pulmonary_respiratory,9
01175,pulmonary_respiratory,9
01176,pulmonary_respiratory,9
0118,pulmonary_respiratory,9
01180,pulmonary_respiratory,9
01181,pulmonary_respiratory,9
01182,pulmonary_respiratory,9
01183,pulmonary_respiratory,9
01184,pulmonary_respiratory,9
01185,pulmonary_respiratory,9
01186,pulmonary_respiratory,9
0119,pulmonary_respiratory,9
01190,pulmonary_respiratory,9
01191,pulmonary_respiratory,9
01192,pulmonary_respiratory,9
01193,pulmonary_respiratory,9
01194,pulmonary_respiratory,9
01195,pulmonary_respiratory,9
01196,pulmonary_respiratory,9
012,pulmonary_respiratory,9
0120,pulmonary_respiratory,9
01200,pulmonary_respiratory,9
01201,pulmonary_respiratory,9
01202,pulmonary_respiratory,9
01203,pulmonary_respiratory,9
01204,pulmonary_respiratory,9
01205,pulmonary_respiratory,9
01206,pulmonary_respiratory,9
0121,pulmonary_respiratory,9
01210,pulmonary_respiratory,9
01211,pulmonary_respiratory,9
01212,pulmonary_respiratory,9
01213,pulmonary_respiratory,9
01214,pulmonary_respiratory,9
01215,pulmonary_respiratory,9
01216,pulmonary_respiratory,9
0122,pulmonary_respiratory,9
01220,pulmonary_respiratory,9
01221,pulmonary_respiratory,9
01222,pulmonary_respiratory,9
01223,pulmonary_respiratory,9
01224,pulmonary_respiratory,9
01225,pulmonary_respiratory,9
01226,pulmonary_respiratory,9
0123,pulmonary_respiratory,9
01230,pulmonary_respiratory,9
01231,pulmonary_respiratory,9
01232,pulmonary_respiratory,9
01233,pulmonary_respiratory,9
01234,pulmonary_respiratory,9
01235,pulmonary_respiratory,9
01236,pulmonary_respiratory,9
0128,pulmonary_respiratory,9
01280,pulmonary_respiratory,9
01281,pulmonary_respiratory,9
01282,pulmonary_respiratory,9
01283,pulmonary_respiratory,9
01284,pulmonary_respiratory,9
01285,pulmonary_respiratory,9
01286,pulmonary_respiratory,9
013,pulmonary_respiratory,9
0130,pulmonary_respiratory,9
01300,pulmonary_respiratory,9
01301,pulmonary_respiratory,9
01302,pulmonary_respiratory,9
01303,pulmonary_respiratory,9
01304,pulmonary_respiratory,9
01305,pulmonary_respiratory,9
01306,pulmonary_respiratory,9
0131,pulmonary_respiratory,9
01310,pulmonary_respiratory,9
01311,pulmonary_respiratory,9
01312,pulmonary_respiratory,9
01313,pulmonary_respiratory,9
01314,pulmonary_respiratory,9
01315,pulmonary_respiratory,9
01316,pulmonary_respiratory,9
0132,pulmonary_respiratory,9
01320,pulmonary_respiratory,9
01321,pulmonary_respiratory,9
01322,pulmonary_respiratory,9
01323,pulmonary_respiratory,9
01324,pulmonary_respiratory,9
01325,pulmonary_respiratory,9
01326,pulmonary_respiratory,9
