"NDCNUM","THRCLDS","THRDTDS","ROADS"
"00002032702","Antibiot, Penicillins","Penicillin V","Oral"
"00002032902","Antibiot, Penicillins","Penicillin V","Oral"
"00002032903","Antibiot, Penicillins","Penicillin V","Oral"
"00002034602","Antibiot, Penicillins","Penicillin V","Oral"
"00002034603","Antibiot, Penicillins","Penicillin V","Oral"
"00002034624","Antibiot, Penicillins","Penicillin V",NA
"00002050101","Antibiot, Aminoglycosides","Tobramycin & Comb.","Injection"
"00002050301","Antibiot, Aminoglycosides","Tobramycin & Comb.","Injection"
"00002050324","Antibiot, Aminoglycosides","Tobramycin & Comb.","Injection"
"00002050901","Antibiot, Aminoglycosides","Tobramycin & Comb.","Injection"
"00002050924","Antibiot, Aminoglycosides","Tobramycin & Comb.","Injection"
"00002140301","Antibiot, Penicillins","Penicillin G & Comb.",NA
"00002140302","Antibiot, Penicillins","Penicillin G & Comb.",NA
"00002140501","Antibiot, Penicillins","Penicillin G & Comb.",NA
"00002140601","Antibiot, Penicillins","Penicillin G & Comb.",NA
"00002140602","Antibiot, Penicillins","Penicillin G & Comb.",NA
"00002141001","Antibiot, Penicillins","Penicillin G & Comb.",NA
"00002141002","Antibiot, Penicillins","Penicillin G & Comb.",NA
"00002144401","Antibiotics, Misc","Vancomycin & Comb.","Intravenous"
"00002144410","Antibiotics, Misc","Vancomycin & Comb.","Intravenous"
"00002144425","Antibiotics, Misc","Vancomycin & Comb.","Intravenous"
"00002145401","Antibiot, Aminoglycosides","Streptomycin Sulfate",NA
"00002149601","Antibiot, Cephalosporin & Rel.","Cefazolin",NA
"00002149701","Antibiot, Cephalosporin & Rel.","Cefazolin",NA
"00002149725","Antibiot, Cephalosporin & Rel.","Cefazolin","Injection"
"00002149801","Antibiot, Cephalosporin & Rel.","Cefazolin","Injection"
"00002149825","Antibiot, Cephalosporin & Rel.","Cefazolin","Injection"
"00002149901","Antibiot, Aminoglycosides","Tobramycin & Comb.","Injection"
"00002149925","Antibiot, Aminoglycosides","Tobramycin & Comb.","Injection"
"00002168101","Antibiot, Aminoglycosides","Streptomycin Sulfate",NA
"00002209602","Antibiot, Aminoglycosides","Neomycin Sulfate",NA
"00002209620","Antibiot, Aminoglycosides","Neomycin Sulfate",NA
"00002209633","Antibiot, Aminoglycosides","Neomycin Sulfate",NA
"00002230733","Antibiot, Penicillins","Penicillin V",NA
"00002230748","Antibiot, Penicillins","Penicillin V","Oral"
"00002230768","Antibiot, Penicillins","Penicillin V",NA
"00002230777","Antibiot, Penicillins","Penicillin V",NA
"00002230789","Antibiot, Penicillins","Penicillin V",NA
"00002231633","Antibiot, Penicillins","Penicillin V",NA
