STATE,SEX,POPSIZE
Alabama,1,154287
Alabama,2,148372
Alaska,1,26714
Alaska,2,24646
Arizona,1,236518
Arizona,2,226542
Arkansas,1,100110
Arkansas,2,95376
California,1,1300849
California,2,1244216
Colorado,1,173902
Colorado,2,166096
Connecticut,1,105318
Connecticut,2,100161
Delaware,1,28476
Delaware,2,27534
Washington DC,1,16463
Washington DC,2,15959
Florida,1,552027
Florida,2,528479
Georgia,1,351811
Georgia,2,336710
Hawaii,1,44737
Hawaii,2,41844
Idaho,1,60968
Idaho,2,58198
Illinois,1,431211
Illinois,2,413907
Indiana,1,221612
Indiana,2,212592
Iowa,1,101153
Iowa,2,96793
Kansas,1,100765
Kansas,2,98435
Kentucky,1,142230
Kentucky,2,136071
Louisiana,1,155698
Louisiana,2,149242
Maine,1,36243
Maine,2,33622
Maryland,1,186225
Maryland,2,178868
Massachusetts,1,187996
Massachusetts,2,180330
Michigan,1,314019
Michigan,2,300463
Minnesota,1,179512
Minnesota,2,173098
Mississippi,1,106515
Mississippi,2,101976
Missouri,1,197907
Missouri,2,188870
Montana,1,30531
Montana,2,29191
Nebraska,1,65834
Nebraska,2,63576
Nevada,1,96732
Nevada,2,91863
New Hampshire,1,36772
New Hampshire,2,35525
New Jersey,1,279434
New Jersey,2,267716
New Mexico,1,72947
New Mexico,2,70353
New York,1,592250
New York,2,566415
North Carolina,1,318634
North Carolina,2,303237
North Dakota,1,21319
North Dakota,2,20473
Ohio,1,369367
Ohio,2,355298
Oklahoma,1,130917
Oklahoma,2,125707
Oregon,1,119993
Oregon,2,114208
Pennsylvania,1,371755
Pennsylvania,2,355520
Rhode Island,1,30148
Rhode Island,2,28772
South Carolina,1,150860
South Carolina,2,145046
South Dakota,1,29099
South Dakota,2,27395
Tennessee,1,205473
Tennessee,2,197994
Texas,1,972112
Texas,2,931442
Utah,1,130971
Utah,2,124041
Vermont,1,16698
Vermont,2,15557
Virginia,1,258706
Virginia,2,247543
Washington,1,218403
Washington,2,208047
West Virginia,1,53226
West Virginia,2,50532
Wisconsin,1,181588
Wisconsin,2,173266
Wyoming,1,19115
Wyoming,2,18153
