CLASS,NAME,NDCLIST
"Anti-Infectives, Misc",Metronidazole & Comb.,00003048850 00003048860 00003057240 00003057250 00005311523 00005311527 00005312623 00007042620 00007042625 00014183151 00014183152 00025182131 00025182134 00025182150 00025182151 00025183131 00025183134 00025183141 00025183150 00025183155 00025184406 00025194234 00025194250 00025196130 00062157001 00062157101 00093050005 00093050053 00093050093 00093050559 00093055101 00093055105 00093055152 00093055193 00093085101 00093085105 00093085152 00093085193 00093085205 00093085253 00093085293 00102295501 00102296550 00143129525 00143129725 00149049501 00150145360 00150145370 00157067801 00157067805 00157067825 00157067901 00172297148 00172297160 00172297165 00172297170 00172297180 00172300748 00172300760 00182133001 00182133002 00182133005 00182133010 00182133079 00182133089 00182151701 00182151719 00182151789 00185055101 00185055105 00185055152 00185055501 00223128701 00223128702 00223128705 00223128801 00223128805 00225041015 00228225810 00228225825 00228226010 00264193933 00281368153 00281368155 00281368852 00302414001 00302414025 00302414201 00302414248 00304067000 00304067001 00304067011 00304067032 00304090201 00304090211 00304090250 00349236300 00349236301 00349236305 00349236321 00349236325 00349238301 00349238305 00349238350 00359105510 00359105525 00359105550 00359105910 00364059501 00364059504 00364059590 00364068750 00364068790 00364074801 00364074804 00364074950 00368107101 00368112805 00403090120 00403090208 00403090221 00403090230 00403090350 00403090404 00403090408 00403090414 00403090420 00403090440 00403261710 00405467701 00405467704 00405467801 00421828201 00469159300 00516014001 00527111201 00527111225 00536401801 00536401802 00536401805 00536401906 00536401932 00536403201 00536403202 00536403205 00536403206 00536403301 00536403332 00537650101 00537650105 00537650125 00537659105 00537659132 00548656000 00555029102 00555029103 00555029104 00555029202 00555029204 00556030301 00556030325 00580067301 00580067303 00580124102 00591252101 00591252105 00591252125 00591252205 00591252250 00591396901 00591396905 00591396925 00591397005 00591397050 00591521505 00591521550 00591554000 00591554001 00591554002 00591554003 00591554004 00591554025 00591555200 00591555201 00591555250 00603464021 00603464024 00603464028 00603464119 00603464121 00603464128 00615157601 00615157605 00615157613 00615157615 00615157622 00615157628 00615157701 00615157704 00615157711 00615157713 00615157716 00641720099 00677069001 00677069003 00677069009 00677081601 00677081609 00686012220 00686012620 00693085101 00693085105 00693085152 00719158010 00719158011 00719158012 00719158110 00719158115 00779066425 00779066429 00779066515 00779066525 00781174001 00781174201 00781174205 00781174213 00781174225 00781174701 00781174713 00814481014 00814481022 00814481108 00814481114 00814481122 00814481514 00814481522 00839641506 00839641509 00839641512 00839641516 00839662004 00839662006 00839662009 00839662012 00839710006 00839710009 00839710104 00839722640 00879050601 00879050605 00879050610 00879050625 00879054001 00879054005 00904145340 00904145360 00904145361 00904145370 00904269451 00904269460 00904269461 00904656861 00948539101 00948539150 00948546401 00948546405 01072297170 10544026504 10544026514 10544026520 10544027014 10544027021 10544056228 10544093814 10544093830 11845023801 11845024101 11845024103 12071036401 12071036425 12071061201 15338015004 15338015014 16590015204 16590015210 16590015214 16590015220 16590015221 16590015228 16590015230 16590038528 16590038530 17236030301 17236030308 17236030325 17236030328 17236030401 17236030404 17236030405 17236030414 17236030455 18837021860 21695030821 21695030828 21695030830 21695030914 21695030915 21695030916 21695030920 21695030921 21695030928 21695030930 21695030956 23155006401 23155006405 23155006501 23155006505 23155006625 23155056801 23155056805 23155056901 23155056905 23155065101 23155065105 23155065201 23155065205 23490592401 23490592402 23490592403 23490592404 23490592405 23490592501 23490592502 23490592503 23490592504 23490592505 23490592506 23490592507 24208014601 24208014604 24208014605 24208014610 24208014611 24208014701 24208014705 24208014711 29300022601 29300022605 29300022652 29300022701 29300022705 29300022746 33261011907 33261011914 33261011920 33261011928 33261011930 33261011960 33261038406 33261038410 33261038414 33261038420 33261038421 33261038428 33261038430 33261038460 33261038490 33358024405 33358024410 33358024414 33358024420 33358024421 33358024425 33358024428 33358024430 33358024550 33358024607 33358024610 33358024614 33358024615 33358024618 33358024620 33358024621 33358024624 33358024628 33358024630 35356089030 35470297101 35470297201 42292000101 42292000119 42292000120 43063002104 43063010806 43063052106 43063063204 43063063209 43063063210 43063063214 43063063221 43063063225 43063063228 43063063230 43063063279 43063071906 43063071921 43063071928 43063071930 43063071956 43063073804 43063073806 43063073809 43063073814 43063073821 43063073828 43063073830 43063073879 45124055505 47202232401 47202232403 47202232404 47202241801 47463052520 47679048101 47679048102 47679048104 47679048135 47679048201 47679048235 47837009601 47837009605 47837009701 47837009750 49335126301 49335126302 49335126305 49727019802 49727019804 49727019902 49884009501 49884009504 49884009505 49884009510 49884011401 49884011403 49884011404 49884011405 49884011410 49884022901 49884022904 49884022905 49884022910 49884023001 49884023003 49884023004 49884023005 49999009500 49999009504 49999009510 49999009514 49999009520 49999009521 49999009528 49999009530 49999031300 49999031321 49999031328 49999031330 50090020100 50090020101 50090020102 50090021100 50090021103 50090021104 50090021106 50090021109 50090021201 50090021202 50090021300 50090021400 50090251200 50090251203 50090251204 50090251206 50090251209 50090251300 50090252101 50090252102 50090302401 50090306300 50090306303 50090306304 50090306306 50090306309 50090310900 50090322000 50111033301 50111033302 50111033303 50111033306 50111033401 50111033402 50111033403 50111088405 50268053811 50268053815 50268053911 50268053915 50272096301 50272096309 50272096701 50272096702 50272097109 51079012201 51079012217 51079012219 51079012220 51079012245 51079012250 51079012601 51079012617 51079012619 51079012620 51079012640 51079012650 51079021601 51079021619 51079021620 51079021719 51079021720 51407001401 51407001405 51432029003 51432029004 51432029103 51655012324 51655012328 51655012329 51655018928 51655018929 51655018953 51655018984 51655018989 51655019020 51655019084 51728018001 51728018005 51728018008 51728054801 52555009501 52555009502 52555009505 52555011400 52555011401 52555072501 52555072601 52959010204 52959010208 52959010214 52959010215 52959010220 52959010221 52959010228 52959010230 52959010242 52959010250 52959040015 52959040021 52959040028 52959040030 52959040040 52959040056 53217026406 53217026410 53217026414 53217026420 53217026421 53217026428 53217026430 53258014601 53258014613 53258014701 53258014713 53265035203 53265035210 53265035305 53265037410 53265037411 53265037450 53265037470 53265037510 53265037511 53265037550 53265037560 53489013501 53489013503 53489013505 53489013601 53489013602 53489013605 53506090608 53506090621 53506098704 53506098708 53506098714 53506098720 54274035410 54274035430 54274035510 54274035530 54569096400 54569096500 54569096501 54569096502 54569096503 54569096504 54569096505 54569096506 54569096507 54569096508 54569096602 54569096700 54569096701 54569096702 54569096703 54569096704 54569096705 54569096706 54569096707 54569096708 54569096709 54569096800 54569096900 54569335400 54569335401 54569335402 54569395100 54569449500 54569509300 54569515000 54569708600 54569708700 54569831900 54569834200 54569915100 54807024001 54807024101 54868010800 54868010801 54868010802 54868010803 54868010805 54868010806 54868010807 54868010808 54868015800 54868015801 54868015802 54868015803 54868015804 54868015805 54868015806 54868015808 54868015809 54868378600 54868615100 54977012421 54977012530 55045112807 55045112808 55045112809 55045122000 55045122004 55045122005 55045122007 55045122008 55045122009 55045330701 55045330702 55045330706 55045330707 55045330709 55048052514 55048052520 55048052521 55048052530 55048052542 55081036101 55081036103 55081036200 55081036201 55081036202 55081036203 55084004021 55084004028 55084004104 55084004110 55084004114 55084004121 55084004130 55175087301 55175087304 55175415400 55175415401 55175415408 55175418000 55175418001 55175418002 55175418003 55175418004 55175418005 55175418006 55175418008 55289017201 55289017208 55289017221 55289017228 55289017230 55289017256 55289017297 55289035510 55289052104 55289052106 55289052108 55289052109 55289052110 55289052114 55289052117 55289052121 55289052125 55289052128 55289052130 55289052140 55289052179 55700029804 55700029814 55700029820 55700029821 55700029830 55700047614 55700047630 55829036410 55829036510 55887078809 55887078814 55887078821 55887078828 55887078830 55887078904 55887078909 55887078914 55887078920 55887078921 55887078928 55887078930 56126009511 57247101700 57247101701 57247101702 57247101800 57247101805 57424038532 57424038632 57480043201 57480043206 57480043301 57480043306 57801008122 57866403301 57866403303 57866403306 58016012900 58016012905 58016012908 58016012909 58016012910 58016012912 58016012914 58016012920 58016012921 58016012925 58016012928 58016012930 58016072500 58016072504 58016072507 58016072508 58016072509 58016072510 58016072512 58016072514 58016072515 58016072518 58016072520 58016072521 58016072524 58016072528 58016072530 58469040322 58469040331 58469403220 58469403221 58469403310 58469403314 58657068450 58864035420 58864035421 58864035428 58864035504 58864035514 58864035520 58864035528 58864035530 58864035540 58914060021 58914060120 60346050708 60346050710 60346050714 60346050720 60346050721 60346050725 60346050728 60346050730 60346050744 60346059208 60346059209 60346059214 60346059215 60346059221 60346059228 60346059230 60346059244 60346086214 60429012814 60429012820 60429012828 60429012914 60429012920 60687042401 60687042411 60760033414 60760033614 61392074530 61392074531 61392074532 61392074539 61392074545 61392074551 61392074554 61392074560 61392074590 61392074591 61392074630 61392074631 61392074632 61392074639 61392074645 61392074651 61392074654 61392074660 61392074690 61392074691 61919003210 61919003214 61919003221 61919003230 61919015204 61919015214 61919015220 61919015221 61919036330 61919038514 61919038521 61919038528 61919038530 61919049921 61919049930 61919078830 62332001631 62332001671 62332001731 62332001771 62332001850 62584079001 62584079101 63187003514 63187082704 63187082714 63187082721 63187082730 63629138601 63629138602 63629138603 63629138604 63629138605 63629138606 63629138607 63629138608 63629138801 63629138802 63629138803 63629138804 63629138805 63629138806 63739017501 63739017510 63739017610 63874031301 63874031305 63874031306 63874031308 63874031309 63874031310 63874031312 63874031314 63874031320 63874031321 63874031325 63874031328 63874031330 63874031340 63874031342 63874031350 63874031356 63874031360 63874031401 63874031407 63874031409 63874031410 63874031412 63874031414 63874031415 63874031418 63874031420 63874031421 63874031424 63874031428 63874031430 63874031440 63874031450 64380077906 64380077907 64380077925 64380077938 64380078006 64380078007 64380078025 64980023501 64980023505 64980023525 64980023601 64980023605 64980023650 65162030308 65162030328 65162030404 65162030414 65483049514 65628020205 65628020305 65862069401 65862069405 65862069425 65862069501 65862069505 65862069550 66267014721 66267014730 66267014804 66267014814 66267014821 66267014830 66267014840 66336050714 66336050720 66336050721 66336050728 66336050730 66336050744 66336059214 66336059221 66336059228 68001022900 68001022903 68001022913 68001023003 68001026303 68001036400 68001036413 68001036500 68001036503 68084013001 68084021601 68084021611 68084036401 68084036411 68084096601 68084096611 68115024021 68115024030 68115024114 68115024121 68115024130 68382085001 68382085005 68382085021 68382085101 68382085105 68382085118 68387019120 69292020650 70882013021 70882013114 70934010414 70934010420 71335035800 71335035801 71335035802 71335035803 71335035804 71335035805 71335035806 71335035807 71335035808 71335035809 71709012904 71709012906 71709013004 71709013006 72578000701 72578000705 72578000721 72578000801 72578000805 72578000818 72789000514 72789000714 75834010701 75834010705 75834010801 75834010805 75834010850 99999025486 99999888696
"Anti-Infectives, Misc",Trimethoprim & Comb.,00004012701 00004012749 00004012754 00081082056 00093215801 00093215901 00102366501 00173082055 00173082555 00182153601 00304092001 00349831701 00359106110 00364064901 00536468301 00536468601 00555042902 00591557101 00603626421 00603626521 00719197910 00781179501 00839728406 00839743306 00904164660 00904164661 00904164760 00904164761 13551050105 17236088701 35470120501 35470120601 42291084590 43386033001 47202267501 47202284701 47679081901 47679081935 50268077511 50268077515 51432097603 51432097803 51655030324 51672520009 51728066901 51862048601 53506036214 54274051510 54569008700 54569008701 54569315300 54569315301 54569315302 54569315303 54569515400 54868161601 54868161602 54868161603 55045230203 55289074602 55289074606 55289074610 56126040911 58016037320 58016037340 58469046833 58469046863 58469468330 58469468630 59439047802 60346097810 61570005701 61570005801 69654050105 70868012016 71297050016 99999777402 99999777404
"Antibiot, Aminoglycosides",Amikacin Sulfate,00015301520 00015301597 00015302020 00015302021 00015302096 00015302097 00015302320 00015302397 00074102702 00074102704 00074195501 00074195601 00074195701 00074195801 00074243403 00074321202 00074579523 00186170213 00186170313 00186170513 00409195501 00409195601 00409195701 00641012323 00641235743 00641616601 00641616610 00641616701 00641616710 00703902203 00703903201 00703903203 00703903293 00703904001 00703904003 00703904093 23155029032 23155029041 23155029042 25021017302 25021017304 39769023602 39769023702 39769023704 54569591000 54569639200 55390022302 55390022402 55390022404 55390022502 55390022602 55390022604 61703020107 61703020204 61703020207 61703020208 63323081502 63323081504 71558059001 71558059007 71558059028
"Antibiot, Aminoglycosides",Gentamicin Sulfate & Comb.,00058055902 00074120703 00074139001 00074139201 00074139511 00074139711 00074139911 00074340001 00074340101 00074340201 00074787913 00074788023 00074788113 00074788313 00074788423 00074788623 00074788813 00074788923 00085001306 00085006903 00085006904 00085006905 00085006906 00085033703 00182142461 00182142465 00223771402 00223771502 00223771720 00223771902 00223771925 00223772001 00223772102 00264580632 00264580832 00264581032 00264581238 00264581638 00338050048 00338050148 00338050341 00338050348 00338050548 00338050741 00338050748 00338050941 00338051141 00364673948 00364673955 00402055902 00402055920 00403095018 00409120703 00409120713 00409120725 00409340001 00409340101 00409340201 00409787913 00409788113 00409788313 00409788423 00409788623 00409788923 00418001002 00418001120 00469100010 00469100040 00469100060 00469173010 00469513025 00536468573 00536469067 00536469073 00641039425 00641039525 00641233143 00641325103 00641325203 00703964204 00703965204 00703966504 00814344635 00814344644 00839650323 00904079955 00904079998 18382020100 39769000102 39769001402 39769001420 43797014409 44437055902 51432020910 54569314900 54868410300 55553055920 57706085826 58441112502 58441112506 59441060420 63323001002 63323001020 63323001050 63323001094 63323001095 63323001096 63323017302 63323017394 63323017395 63323051302
"Antibiot, Aminoglycosides",Kanamycin,00015350220 00015350224 00015350294 00015350299 00015350320 00015350399 00015350625 00015350660 00015351220 00015351299 00029247024 00029247224 00029247424 00029247622 00094510353 00094510453 00094510561 00364236568 00364236589 00402074503 00418910010 00469910010 00469920020 00469960010 00686006402 00686006504 00686016305 39769006305 39769006402 39769006473 39769006502 47679074061 51309030302 51309030402 51309030505 53258910001 53258920002 53258960001 63323035903
"Antibiot, Aminoglycosides",Neomycin Sulfate,00002209602 00002209620 00002209633 00005333023 00009048801 00009048804 00009051302 00009052102 00009052103 00054460025 00054860025 00084012701 00093117701 00157038901 00182067301 00185484101 00223132501 00304019101 00359024710 00364200601 00527121001 00527121005 00536406401 00537212601 00580021901 00615010601 00677101001 00686001520 00686117709 00719160010 00779067625 00781140001 00781140013 00839599606 00904270360 00904594106 00948525901 00995041066 12071061501 17236020901 35470120401 39822031001 39822031005 39822031007 39822033002 39822033005 39822035505 47202208301 47679048301 47679048335 49727030402 50383056510 51079001501 51079001520 51079001540 51432097903 51728029401 51991073801 54868156000 56126027011 60346087906 60429023901
"Antibiot, Aminoglycosides",Netilmicin Sulfate,00085026402 00085026404 00085026405 00085026406 00085045902 00085074303
"Antibiot, Aminoglycosides",Plazomicin,71045001001 71045001002
"Antibiot, Aminoglycosides",Streptomycin Sulfate,00002145401 00002168101 00049062095 00049063095 00463106512 00839599230 17022307901 39822070502 39822070601 39822070602 54569237300
"Antibiot, Aminoglycosides",Tobramycin & Comb.,00002050101 00002050301 00002050324 00002050901 00002050924 00002149901 00002149925 00002704001 00002704016 00002709001 00002709016 00002729301 00002729325 00002729401 00002729425 00002738125 00002738216 00002898801 00002898925 00003272410 00003272510 00003272520 00003272525 00003272530 00069008801 00069008802 00069009102 00069009103 00069030101 00069030102 00069030201 00069030202 00074198414 00074325403 00074325503 00074346913 00074347023 00074357701 00074357801 00074358201 00074358301 00074359002 00078049461 00078049471 00078063011 00078063019 00078063035 00078063056 00093408563 00186178304 00186178401 00205302704 00205302708 00205302745 00205302746 00209890024 00209895024 00209897020 00403058918 00409325503 00409346913 00409347023 00409357701 00409357801 00409359002 00702272511 00703940201 00703940204 00703941601 00781377072 00781377272 00781377472 00781377590 00781377673 00781717156 10122082028 10122082056 17478011402 17478011430 17478034038 23360001402 23360001430 24492085056 24492089999 36000024201 36000024425 39769015302 39769036730 39822040901 39822040906 39822041201 39822041206 43598060556 53905006501 53905006504 54868410600 63323030351 63323030355 63323030502 63323030602 63323030626 63323030630 63323030655 63323030656 63323030751 63430006501 65162091446 67457042700 67457042730 67457042800 67457042830 67457043200 67457043202 67457047300 67457047322 68180096256 70644089999
