COND,DX,ICD,ICD_DESC
Bacterial infection (other),0200,9,BUBONIC PLAGUE
Bacterial infection (other),0208,9,OTHER TYPES OF PLAGUE
Bacterial infection (other),0209,9,PLAGUE NOS
Bacterial infection (other),0218,9,TULAREMIA NEC
Bacterial infection (other),0219,9,TULAREMIA NOS
Bacterial infection (other),0228,9,OTHER ANTHRAX MANIFEST
Bacterial infection (other),0229,9,ANTHRAX NOS
Bacterial infection (other),0230,9,BRUCELLA MELITENSIS
Bacterial infection (other),0231,9,BRUCELLA ABORTUS
Bacterial infection (other),0232,9,BRUCELLA SUIS
Bacterial infection (other),0233,9,BRUCELLA CANIS
Bacterial infection (other),0238,9,BRUCELLOSIS NEC
Bacterial infection (other),0239,9,BRUCELLOSIS NOS
Bacterial infection (other),024,9,GLANDERS
Bacterial infection (other),025,9,MELIOIDOSIS
Bacterial infection (other),0260,9,SPIRILLARY FEVER
Bacterial infection (other),0269,9,RAT-BITE FEVER NOS
Bacterial infection (other),0270,9,LISTERIOSIS
Bacterial infection (other),0271,9,ERYSIPELOTHRIX INFECTION
Bacterial infection (other),0272,9,PASTEURELLOSIS
Bacterial infection (other),0278,9,ZOONOTIC BACT DIS NEC
Bacterial infection (other),0279,9,ZOONOTIC BACT DIS NOS
Bacterial infection (other),0300,9,LEPROMATOUS LEPROSY
Bacterial infection (other),0301,9,TUBERCULOID LEPROSY
Bacterial infection (other),0302,9,INDETERMINATE LEPROSY
Bacterial infection (other),0303,9,BORDERLINE LEPROSY
Bacterial infection (other),0308,9,LEPROSY NEC
Bacterial infection (other),0309,9,LEPROSY NOS
Bacterial infection (other),0312,9,DX DUE TO DISSEM MYCOBACT (Begin 1997)
Bacterial infection (other),0318,9,MYCOBACTERIAL DIS NEC
Bacterial infection (other),0319,9,MYCOBACTERIAL DIS NOS
Bacterial infection (other),03289,9,DIPHTHERIA NEC
Bacterial infection (other),0329,9,DIPHTHERIA NOS
Bacterial infection (other),0330,9,BORDETELLA PERTUSSIS
Bacterial infection (other),0331,9,BORDETELLA PARAPERTUSSIS
Bacterial infection (other),0338,9,WHOOPING COUGH NEC
Bacterial infection (other),0339,9,WHOOPING COUGH NOS
