HHS,STATE,MSA,MSA_POP,MSA_NAME,NRX
5,Ohio,10420,703200,"Akron, OH",1.4384551140544533
4,Georgia,10500,157308,"Albany, GA",3.6503671328671246
2,New York,10580,870718,"Albany-Schenectady-Troy, NY",1.670397349397589
6,New Mexico,10740,887079,"Albuquerque, NM",1.5871011799007038
3,Pennsylvania,10900,821173,"Allentown-Bethlehem-Easton, PA-NJ",1.3920215160542875
9,California,11244,NA,NA,1.7834899521531151
10,Alaska,11260,380821,"Anchorage, AK",1.0424766623207318
5,Michigan,11460,344791,"Ann Arbor, MI",1.5221541666666727
5,Wisconsin,11540,225666,"Appleton, WI",1.6949000000000074
4,Georgia,12020,192541,"Athens-Clarke County, GA",2.050855172413797
4,Georgia,12060,5268860,"Atlanta-Sandy Springs-Marietta, GA",1.7466825514149509
4,Georgia,12260,556877,"Augusta-Richmond County, GA-SC",2.4660654803646413
6,Texas,12420,1716289,"Austin-Round Rock-San Marcos, TX",1.7625361050328063
3,Maryland,12580,2710489,"Baltimore-Towson, MD",1.6143861386138807
6,Louisiana,12940,802484,"Baton Rouge, LA",3.2990326130612173
6,Texas,13140,388745,"Beaumont-Port Arthur, TX",2.6143283939662982
4,Alabama,13820,1128050,"Birmingham-Hoover, AL",3.12766489361704
5,Illinois,14010,NA,NA,1.7493026282853492
10,Idaho,14260,616561,"Boise City-Nampa, ID",1.1386417620137288
1,Massachusetts,14454,NA,NA,1.571298537502357
1,Connecticut,14860,916829,"Bridgeport-Stamford-Norwalk, CT",1.487179969366919
4,Georgia,15260,112368,"Brunswick, GA",2.6426760563380247
2,New York,15380,1135509,"Buffalo-Niagara Falls, NY",1.1766917053749157
1,Massachusetts,15764,1503085,"Cambridge-Newton-Framingham, MA",1.4574490011641912
2,New Jersey,15804,1250679,"Camden, NJ",1.653504490540222
5,Ohio,15940,404422,"Canton-Massillon, OH",1.7071541666666676
7,Iowa,16300,257940,"Cedar Rapids, IA",2.590258333333333
4,South Carolina,16700,664607,"Charleston-North Charleston-Summerville, SC",1.966927459388139
4,North Carolina,16740,1758038,"Charlotte-Gastonia-Rock Hill, NC-SC",2.088508369723607
4,Tennessee,16860,528143,"Chattanooga, TN-GA",2.332384523809514
5,Illinois,16974,7883147,"Chicago-Joliet-Naperville, IL",1.4895725458156743
4,Kentucky,17140,2130151,"Cincinnati-Middletown, OH-KY-IN",1.9458350408461693
5,Ohio,17460,2077240,"Cleveland-Elyria-Mentor, OH",1.464709964912299
8,Colorado,17820,645613,"Colorado Springs, CO",1.330827755102036
7,Missouri,17860,172786,"Columbia, MO",1.630285772357723
4,South Carolina,17900,767604,"Columbia, SC",1.9291364418069583
4,Georgia,17980,294865,"Columbus, GA-AL",2.139979385045432
5,Ohio,18140,1836536,"Columbus, OH",1.303894411802174
6,Texas,19124,4235752,"Dallas-Plano-Irving, TX",2.2325764707662747
4,Georgia,19140,142227,"Dalton, GA",5.002140435835344
5,Ohio,19380,841502,"Dayton, OH",1.8297774285714279
5,Illinois,19500,110768,"Decatur, IL",2.0972130476649
4,Florida,19660,494597,"Deltona-Daytona Beach-Ormond Beach, FL",1.731800632911397
8,Colorado,19740,2543482,"Denver-Aurora-Broomfield, CO",1.4423350332469422
5,Michigan,19804,1820584,"Detroit-Livonia-Dearborn, MI",1.6795548382957364
3,Delaware,20100,162310,"Dover, DE",2.9176442307692234
4,North Carolina,20500,504357,"Durham-Chapel Hill, NC",1.3106789819376057
2,New York,20524,NA,NA,1.9087198266522185
5,Illinois,20994,NA,NA,1.8323428571428688
6,Texas,21340,800647,"El Paso, TX",2.4056824583866745
5,Indiana,21780,358676,"Evansville, IN-KY",2.3641357466063235
6,Arkansas,22220,463207,"Fayetteville-Springdale-Rogers, AR-MO",2.6418777571086998
5,Michigan,22420,425790,"Flint, MI",2.105237012987005
4,South Carolina,22500,205566,"Florence, SC",2.453531370038404
