NOBS,NRX,AGE_DAYS_ROUNDED,NMEMB,rawmean,rawlwr,rawupr,proplwr,propupr,lwr,upr,Indication
77,4.418183802433715e-4,5,124759,6.171899422085782e-4,4.870766506179637e-4,7.713815315938962e-4,0.21081563825394115,0.24982842207951808,3.4867615642004263e-4,5.521971690253015e-4,All conditions
152,0.0010060149108784796,10,124759,0.001218348976827323,0.0010323629919602962,0.0014281634058672299,0.15265411503964074,0.17221209442493254,8.524425949416422e-4,0.0011792628457035744,All conditions
314,0.0022862376779764484,15,124759,0.0025168524916038123,0.0022461384244332836,0.002811205312921524,0.10756056148448405,0.11695275042922416,0.0020403286696463185,0.002553619462550717,All conditions
528,0.004176148497858439,20,124759,0.0042321596037159645,0.003878822058031372,0.004609035997365675,0.08348870996603046,0.08905060983966719,0.0038274872471456617,0.004548037068373743,All conditions
772,0.006200791208186979,25,124759,0.006187930329675614,0.005759070466824061,0.006640270601955683,0.06930586480504787,0.07310041454584085,0.005771040011028043,0.006654071616017652,All conditions
1053,0.008231217416785064,30,124759,0.008440272846047179,0.007938117736854374,0.00896586812139709,0.05949512750976745,0.062272308601500105,0.007741500087012818,0.008743794327929147,All conditions
1459,0.011294257075471334,35,124759,0.011694547086783318,0.011102101977599615,0.01231039624516618,0.05065994474067823,0.05266122354399419,0.010722090636140942,0.011889026472086069,All conditions
1817,0.014040930258098895,40,124759,0.014564079545363462,0.013902044499904795,0.015249497424629365,0.04545670348727449,0.04706221750100985,0.013402675854670993,0.014701727571822054,All conditions
2218,0.017050448649528115,45,124759,0.017778276517125016,0.017046024740386263,0.01853389375279303,0.041188006949571726,0.04250227714369055,0.016348174652058036,0.01777513154345462,All conditions
2667,0.02072287637733283,50,124759,0.02137721527104257,0.02057352196203982,0.022204259438453194,0.03759579060287734,0.03868811521634132,0.01994378345636131,0.02152460540623308,All conditions
3141,0.024382431113133193,55,124759,0.025176540369833036,0.024303695546502278,0.026072724169605467,0.03466897399360781,0.03559598684361945,0.023537117242971046,0.02525034781025174,All conditions
3633,0.02807331615251339,60,124759,0.029120143636932005,0.028180847773783522,0.030082768689562334,0.03225588015153911,0.033057015948556895,0.02716778663124165,0.029001336212295902,All conditions
4265,0.0331683127093666,65,124759,0.034185910435319294,0.03316755076428355,0.03522758929901119,0.029788870855509596,0.03047099961438145,0.03218026612557212,0.03417898435314339,All conditions
