NOBS,NRX,AGE_DAYS_ROUNDED,NMEMB,rawmean,rawlwr,rawupr,proplwr,propupr,lwr,upr,Comorbidities
21,8.331019161344071e-4,5,25207,8.331019161344071e-4,5.157032167285351e-4,0.001273484775456952,0.380984238853515,0.5286062254734947,5.157032167285351e-4,0.001273484775456952,Yes
33,0.0013091601539254969,10,25207,0.0013091601539254969,9.011656116447745e-4,0.001838547596666374,0.3116460129475809,0.40437179603543294,9.011656116447745e-4,0.001838547596666374,Yes
75,0.002975363986194311,15,25207,0.002975363986194311,0.002340312520389235,0.0037296445213168073,0.2134365639806474,0.25350865931777017,0.002340312520389235,0.0037296445213168073,Yes
123,0.00487959693735867,20,25207,0.00487959693735867,0.0040554221244389795,0.005822050216731031,0.16890223178265557,0.19314162449706598,0.0040554221244389795,0.005822050216731031,Yes
184,0.007299559646130043,25,25207,0.007299559646130043,0.006282905561195924,0.008433869452440354,0.13927608434203448,0.1553942787373044,0.006282905561195924,0.008433869452440354,Yes
272,0.010790653389931367,30,25207,0.010790653389931367,0.009546267590391547,0.012152196729138672,0.11532070900367741,0.12617802555661223,0.009546267590391547,0.012152196729138672,Yes
392,0.015551235767842266,35,25207,0.015551235767842266,0.014049682743651131,0.017169559317598303,0.09655522214486206,0.10406398397627661,0.014049682743651131,0.017169559317598303,Yes
480,0.019042329511643592,40,25207,0.019042329511643592,0.017376688903167417,0.02082455428126519,0.08747042253720613,0.0935927911830242,0.017376688903167417,0.02082455428126519,Yes
587,0.023287182131947474,45,25207,0.023287182131947474,0.021441185472326842,0.02524959529952358,0.07927093321815547,0.0842701000257085,0.021441185472326842,0.02524959529952358,Yes
708,0.028087436029674298,50,25207,0.028087436029674298,0.026056344186176333,0.030234802522497294,0.0723131809308661,0.07645291975224469,0.026056344186176333,0.030234802522497294,Yes
855,0.03391914944261515,55,25207,0.03391914944261515,0.03168337585630233,0.03627106754935859,0.06591478922828922,0.0693389470370549,0.03168337585630233,0.03627106754935859,Yes
989,0.03923513309794898,60,25207,0.03923513309794898,0.036827662065633614,0.04175865620660282,0.06136008322707124,0.06431794438810659,0.036827662065633614,0.04175865620660282,Yes
1173,0.04653469274407902,65,25207,0.04653469274407902,0.04390943534607897,0.04927590202845629,0.0564150581682757,0.058906788091472935,0.04390943534607897,0.04927590202845629,Yes
1351,0.053596223271313526,70,25207,0.053596223271313526,0.05077603198966055,0.05653228965646766,0.05261921660742163,0.05478121789088098,0.05077603198966055,0.05653228965646766,Yes
1568,0.06220494307136906,75,25207,0.06220494307136906,0.059163757586138344,0.06536192832445172,0.048889772019267044,0.05075135668013676,0.059163757586138344,0.06536192832445172,Yes
1762,0.06990121791565834,80,25207,0.06990121791565834,0.06667510620715897,0.07324307416265417,0.0461524391805583,0.0478082692497298,0.06667510620715897,0.07324307416265417,Yes
2004,0.079501725711112,85,25207,0.079501725711112,0.07605867804116488,0.08306046058431366,0.04330783563690467,0.04476298899640428,0.07605867804116488,0.08306046058431366,Yes
2267,0.08993533542270005,90,25207,0.08993533542270005,0.08627091375879466,0.09371539268614955,0.0407450714080561,0.042030835218249483,0.08627091375879466,0.09371539268614955,Yes
2569,0.10191613440710913,95,25207,0.10191613440710913,0.09801281982458154,0.10593503538562686,0.038299280140822456,0.039433412598480516,0.09801281982458154,0.10593503538562686,Yes
