NOBS,NRX,AGE_DAYS_ROUNDED,NMEMB,rawmean,rawlwr,rawupr,proplwr,propupr,lwr,upr,Indication
75,4.3241669796866206e-4,5,124759,6.011590346187449e-4,4.7284971586379696e-4,7.53558055521708e-4,0.21343656398064736,0.2535086593177703,3.4012316374637346e-4,5.420380753373148e-4,All conditions
150,9.966132286037702e-4,10,124759,0.0012023180692374898,0.001017611244890107,0.0014108574619632612,0.15362559132503426,0.17344777398049674,8.435079320371644e-4,0.00116947357462461,All conditions
301,0.002190178914759445,15,124759,0.0024126515922698964,0.0021477627048990065,0.0027011885401498036,0.10979160365284003,0.11959329262640978,0.0019497156594213687,0.0024521096226164637,All conditions
490,0.00389205506981799,20,124759,0.003927572359509133,0.0035874696564209786,0.004291226745586011,0.08659361864198999,0.09259011745421465,0.0035550279373685475,0.00425242090587071,All conditions
697,0.005641000910027365,25,124759,0.0055867712950568695,0.00517965864459876,0.006017379014699736,0.07287082806098033,0.0770763106096476,0.005229936502620928,0.0060757884483179396,All conditions
936,0.007415925934548597,30,124759,0.007502464752041937,0.007029467469951942,0.007998916747229962,0.0630455853806257,0.06617185306374232,0.006948384542865617,0.007906651495821142,All conditions
1275,0.01001649173077733,35,124759,0.010219703588518664,0.009666374386311363,0.010796451065657423,0.05414337093190642,0.056434853725768085,0.00947416510356148,0.010581770976449113,All conditions
1565,0.01226513701790062,40,124759,0.012544185189044477,0.011930322637593296,0.013181444756209477,0.048936024317251074,0.05080119254948131,0.01166492997453822,0.012888220605192761,All conditions
1862,0.014500147948116195,45,124759,0.014924774966134707,0.014254497832124251,0.015618432708694037,0.04491036786359316,0.04647693141995676,0.01384894096968977,0.015174070329880017,All conditions
2214,0.017350905338009662,50,124759,0.017746214701945352,0.017014630405223566,0.01850116460727307,0.04122480816382717,0.042541461264128555,0.016635617593981487,0.01808903820534416,All conditions
2591,0.020245853128337002,55,124759,0.020768040782628908,0.019975991149832183,0.021583443476045194,0.038137908196868596,0.03926237924659299,0.0194737186403612,0.02104075349203259,All conditions
2955,0.023025715900620167,60,124759,0.02368566596397855,0.022839288740195255,0.02455538648533121,0.03573373132385119,0.036719276657677324,0.022202921155088078,0.023871203533016118,All conditions
3454,0.027043521367656396,65,124759,0.027685377407641935,0.02676970417594314,0.02862438314700926,0.03307425498364502,0.03391702867334336,0.026149077046286877,0.027960757257311373,All conditions
3928,0.03066078437986232,70,124759,0.0314847025064324,0.03050771142649722,0.03248501780989379,0.03103065940469275,0.03177147070889499,0.029709360022690087,0.03163492259269886,All conditions
4406,0.03443571798138774,75,124759,0.035316089420402534,0.03428090809262191,0.03637458800903992,0.029311889984698823,0.02997213468447838,0.03342634200437319,0.035467829958682605,All conditions
4873,0.03793508672467637,80,124759,0.03905930634262859,0.03797025175368495,0.04017167240359174,0.0278820770494601,0.028478899527950383,0.03687737771374099,0.03901543624809251,All conditions
5471,0.042513469065119464,85,124759,0.04385254771198872,0.04269814891545074,0.04503025167804066,0.02632455482677413,0.02685599873892784,0.04139432091783836,0.04365521073671976,All conditions
6097,0.047087766564927566,90,124759,0.048870221787606506,0.047651142683215915,0.05011260048303659,0.024945233718987336,0.025421998304602563,0.045913151222660334,0.048284831686708676,All conditions
6809,0.05251784381828032,95,124759,0.05457722488958713,0.05328849650406137,0.055889247480466246,0.023612933565840547,0.02403974539807432,0.051277743461178076,0.05378035941252761,All conditions
7705,0.05935374193333683,100,124759,0.061759071489832396,0.060387684502587455,0.06315374699554936,0.022205434022283137,0.022582520625274886,0.0580357663328605,0.060694099034733655,All conditions
8599,0.06621068263071177,105,124759,0.06892488718248783,0.06747569301250343,0.07039736510654522,0.02102570245994698,0.021363515912021794,0.06481855651804844,0.06762517560263881,All conditions
9510,0.07311566333458493,110,124759,0.07622696558965686,0.07470254436725404,0.07777466641916636,0.019998450818691164,0.020303849399450676,0.07165346333731225,0.07460019275167128,All conditions
10473,0.08062560633714753,115,124759,0.08394584759416154,0.08234572789812819,0.08556924311552493,0.01906133229804498,0.019338604206032107,0.0790887748630238,0.08218479302697299,All conditions
11459,0.08828021508545399,120,124759,0.09184908503594931,0.09017498569185549,0.09354645683796796,0.018226630602129423,0.018480007736106523,0.08667116421561488,0.08991163414317832,All conditions
12581,0.0967147779654768,125,124759,0.10084242419384573,0.09908791516985929,0.10262020233593573,0.01739852089051142,0.01762926820038203,0.09503208388062327,0.09841978872517058,All conditions
13613,0.1045689739547572,130,124759,0.10911437251019966,0.10728901555065944,0.11096299588769963,0.016728840734245132,0.016942070370492814,0.10281965624372463,0.10634058887006892,All conditions
14647,0.11233643439729507,135,124759,0.11740235173414343,0.115508655390412,0.11931931208173668,0.016129969423608233,0.016328125623362253,0.11052445114530952,0.1141706778102147,All conditions
15753,0.12094375892319595,140,124759,0.1262674436313212,0.1243032692299766,0.1282548797219551,0.01555566775454519,0.015739893304855868,0.1190623979924009,0.12284740078453527,All conditions
16810,0.12894183127342815,145,124759,0.13473977829254805,0.13271052598969382,0.13679229028954304,0.015060528735977989,0.015233155516543626,0.12699989911826506,0.1309060222418042,All conditions
17980,0.13800537036969354,150,124759,0.14411785923260045,0.1420189148446082,0.14624006131467007,0.014564082475056951,0.014725462155557483,0.13599544877362854,0.14003756322833616,All conditions
19212,0.14709436113079538,155,124759,0.1539928983079377,0.15182297836766143,0.15618607403684065,0.014091039029196683,0.014242057607859883,0.14502164874712659,0.1491892874958115,All conditions
20441,0.15644268845691714,160,124759,0.1638438910218902,0.16160540187163983,0.16610563423417132,0.013662329039483728,0.013804257199793564,0.1543053169713973,0.1586022635654036,All conditions
21740,0.16624434488413614,165,124759,0.17425596550148686,0.1719472071164511,0.17658797628510162,0.013249235849065238,0.01338267402727658,0.16404173435019287,0.16846913876059869,All conditions
23016,0.17590988749499534,170,124759,0.18448368454380046,0.1821079173212708,0.1868827026699191,0.012877925917430401,0.013003958220213597,0.17364453299569127,0.17819741232250272,All conditions
24311,0.18545220576073848,175,124759,0.19486369720821745,0.19242179690586012,0.19732884701883618,0.012531324907317601,0.012650636552300736,0.18312824391557195,0.18779829421364008,All conditions
25538,0.19490119947779297,180,124759,0.20469865901458012,0.2021957050154906,0.20722486129897283,0.012227505598418353,0.012341078815825435,0.1925180439700398,0.19730649054184732,All conditions
27075,0.20707929010022358,185,124759,0.21701841149736692,0.21444101236208693,0.2196190575048465,0.011876407708897368,0.011983527063606482,0.20461993202292428,0.20956083037745202,All conditions
28559,0.21840800434924001,190,124759,0.22891334492902315,0.22626604775884518,0.23158388771668403,0.01156462578011254,0.011666173453054504,0.21588219751155985,0.22095599001151373,All conditions
