NOBS,NRX,AGE_DAYS_ROUNDED,NMEMB,rawmean,rawlwr,rawupr,proplwr,propupr,lwr,upr,Comorbidities
21,8.331019161344071e-4,5,25207,8.331019161344071e-4,5.157032167285351e-4,0.001273484775456952,0.380984238853515,0.5286062254734947,5.157032167285351e-4,0.001273484775456952,Yes
33,0.0013091601539254969,10,25207,0.0013091601539254969,9.011656116447745e-4,0.001838547596666374,0.3116460129475809,0.40437179603543294,9.011656116447745e-4,0.001838547596666374,Yes
73,0.002896020946562463,15,25207,0.002896020946562463,0.0022700181268099787,0.0036413115477042708,0.21615963119864207,0.25734986552029515,0.0022700181268099787,0.0036413115477042708,Yes
119,0.004720910858094974,20,25207,0.004720910858094974,0.003910883214076736,0.00564927368866535,0.17158291447703963,0.1966490913461133,0.003910883214076736,0.00564927368866535,Yes
170,0.006744158368707105,25,25207,0.006744158368707105,0.005768442137495732,0.007837643268805207,0.1446757590596769,0.1621380816280757,0.005768442137495732,0.007837643268805207,Yes
247,0.009798865394533264,30,25207,0.009798865394533264,0.008614851338866929,0.011100151183710164,0.12083175020721178,0.13279963922178997,0.008614851338866929,0.011100151183710164,Yes
349,0.013845360415757528,35,25207,0.013845360415757528,0.012430714021416536,0.01537689293815971,0.10217476120960858,0.1106170208945323,0.012430714021416536,0.01537689293815971,Yes
421,0.016701709842504065,40,25207,0.016701709842504065,0.015144216656568578,0.01837590574868117,0.09325351719210413,0.10024098861521687,0.015144216656568578,0.01837590574868117,Yes
500,0.019835759907962075,45,25207,0.019835759907962075,0.018134985396898857,0.02165308321359826,0.08574284620074107,0.09161853713034265,0.018134985396898857,0.02165308321359826,Yes
596,0.02364422581029079,50,25207,0.02364422581029079,0.021783840255077038,0.025621015860735553,0.07868244746690112,0.08360561543886094,0.021783840255077038,0.025621015860735553,Yes
715,0.028365136668385766,55,25207,0.028365136668385766,0.02632384105278908,0.03052269984306304,0.07196494906621774,0.07606390901271334,0.02632384105278908,0.03052269984306304,Yes
812,0.03221327409053041,60,25207,0.03221327409053041,0.030035415783757007,0.03450731131311407,0.06760748071285366,0.07121403481485995,0.030035415783757007,0.03450731131311407,Yes
959,0.03804498750347126,65,25207,0.03804498750347126,0.03567489220192624,0.04053115388821907,0.06229717650265416,0.06534806679910114,0.03567489220192624,0.04053115388821907,Yes
1101,0.04367834331733249,70,25207,0.04367834331733249,0.04113611617267956,0.04633655855998286,0.05820337841531916,0.060858884306528506,0.04113611617267956,0.04633655855998286,Yes
1263,0.0501051295275122,75,25207,0.0501051295275122,0.04737959070008232,0.0529465793943086,0.054396403185292964,0.05670975993059136,0.04737959070008232,0.0529465793943086,Yes
1400,0.055540127742293804,80,25207,0.055540127742293804,0.05266856675907185,0.05852754530067982,0.051702455502911346,0.05378845313874024,0.05266856675907185,0.05852754530067982,Yes
1582,0.062760344348792,85,25207,0.062760344348792,0.05970544343245076,0.06593104071090981,0.04867565575108329,0.05052069734507181,0.05970544343245076,0.06593104071090981,Yes
1757,0.06970286031657873,90,25207,0.06970286031657873,0.06648138300952951,0.07304008346993725,0.046217289970853545,0.04787785089738659,0.06648138300952951,0.07304008346993725,Yes
1980,0.07854960923552981,95,25207,0.07854960923552981,0.07512746820657976,0.08208744268129439,0.04356662066502223,0.04503947861989284,0.07512746820657976,0.08208744268129439,Yes
